objID,pid1,pid2
1237651800158896649,1237651800158896649,1237651800158896649
1237650795683512507,1237650795683512507,1237650795683512507
1237648721216405657,1237648721216405657,1237648721216405657
1237651799621959813,1237651799621959813,1237651799621959813
1237650795146182725,1237650795146182725,1237650795146182725
1237648721216078463,1237648721216078463,1237648721216078463
1237648721216012368,1237648721216012368,1237648721216012368
1237650796220121207,1237650796220121207,1237650796220121207
1237648721215815838,1237648721215815838,1237648721215815838
1237650794609115494,1237650794609115494,1237650794609115494
1237650796219728015,1237650796219728015,1237650796219728015
1237650795682791609,1237650795682791609,1237650795682791609
1237650794609049737,1237650794609049737,1237650794609049737
1237650794608984423,1237650794608984423,1237650794608984423
1237648721752359060,1237648721752359060,1237648721752359060
1237650796219596986,1237650796219596986,1237650796219596986
1237650797293731872,1237650797293731872,1237650797293731872
1237648721752621240,1237648721752621240,1237648721752621240
1237650796219859103,1237650796219859103,1237650796219859103
1237651752921792827,1237651752921792827,1237651752921792827
1237650796756795601,1237650796756795601,1237650796756795601
1237648721752883442,1237648721752883442,1237648721752883442
1237650796220121520,1237650796220121520,1237650796220121520
1237648721752883489,1237648721752883489,1237648721752883489
1237648722289819865,1237648722289819865,1237648722289819865
1237648722289950745,1237648722289950745,1237648722289950745
1237650797294125296,1237650797294125296,1237650797294125296
1237651752385183972,1237651752385183972,1237651752385183972
1237651799622877394,1237651799622877394,1237651799622877394
1237651800696815831,1237651800696815831,1237651800696815831
1237650795147165934,1237650795147165934,1237650795147165934
1237648721217126647,1237648721217126647,1237648721217126647
1237650794610294829,1237650794610294829,1237650794610294829
1237648721216667792,1237648721216667792,1237648721216667792
1237648720142860424,1237648720142860424,1237648720142860424
1237648720142794914,1237648720142794914,1237648720142794914
1237650795146903596,1237650795146903596,1237650795146903596
1237650795683709186,1237650795683709186,1237650795683709186
1237650794609705184,1237650794609705184,1237650794609705184
1237650795683643629,1237650795683643629,1237650795683643629
1237650796220514453,1237650796220514453,1237650796220514453
1237648721753276568,1237648721753276568,1237648721753276568
1237648722827083931,1237648722827083931,1237648722827083931
1237648722827083960,1237648722827083960,1237648722827083960
1237648722290213005,1237648722290213005,1237648722290213005
1237650796757451131,1237650796757451131,1237650796757451131
1237648721753342172,1237648721753342172,1237648721753342172
1237648721753408153,1237648721753408153,1237648721753408153
1237648722290344109,1237648722290344109,1237648722290344109
1237648722290606343,1237648722290606343,1237648722290606343
1237651801233359003,1237651801233359003,1237651801233359003
1237651752922710190,1237651752922710190,1237651752922710190
1237651752385708321,1237651752385708321,1237651752385708321
1237651801770426430,1237651801770426430,1237651801770426430
1237648722290802828,1237648722290802828,1237648722290802828
1237648721753997542,1237648721753997542,1237648721753997542
1237648721753997595,1237648721753997595,1237648721753997595
1237654670808907883,1237654670808907883,1237654670808907883
1237651800160469245,1237651800160469245,1237651800160469245
1237648720680714471,1237648720680714471,1237648720680714471
1237651800697340133,1237651800697340133,1237651800697340133
1237648721217716302,1237648721217716302,1237648721217716302
1237654669198557304,1237654669198557304,1237654669198557304
1237651800697340062,1237651800697340062,1237651800697340062
1237651799623205043,1237651799623205043,1237651799623205043
1237651800697209009,1237651800697209009,1237651800697209009
1237654669735493835,1237654669735493835,1237654669735493835
1237648720680386850,1237648720680386850,1237648720680386850
1237651800696946939,1237651800696946939,1237651800696946939
1237651799623008574,1237651799623008574,1237651799623008574
1237648720143450317,1237648720143450317,1237648720143450317
1237648721217192171,1237648721217192171,1237648721217192171
1237648721216929816,1237648721216929816,1237648721216929816
1237654669735035113,1237654669735035113,1237654669735035113
1237650795684168020,1237650795684168020,1237650795684168020
1237648722290606344,1237648722290606344,1237648722290606344
1237653663647727796,1237653663647727796,1237653663647727796
1237648722827739232,1237648722827739232,1237648722827739232
1237651752386167108,1237651752386167108,1237651752386167108
1237648722290933886,1237648722290933886,1237648722290933886
1237648722291065035,1237648722291065035,1237648722291065035
1237651801233752282,1237651801233752282,1237651801233752282
1237648722828066934,1237648722828066934,1237648722828066934
1237648722291130417,1237648722291130417,1237648722291130417
1237648721754390626,1237648721754390626,1237648721754390626
1237651801770819724,1237651801770819724,1237651801770819724
1237648721754390731,1237648721754390731,1237648721754390731
1237648721754325260,1237648721754325260,1237648721754325260
1237648722291327202,1237648722291327202,1237648722291327202
1237654670809301111,1237654670809301111,1237654670809301111
1237648721754521762,1237648721754521762,1237648721754521762
1237651801771081939,1237651801771081939,1237651801771081939
1237648722291327170,1237648722291327170,1237648722291327170
1237648721754652831,1237648721754652831,1237648721754652831
1237651801234210980,1237651801234210980,1237651801234210980
1237648720144564346,1237648720144564346,1237648720144564346
1237651800698061129,1237651800698061129,1237651800698061129
1237651799624057019,1237651799624057019,1237651799624057019
1237648720681566449,1237648720681566449,1237648720681566449
1237648720144367900,1237648720144367900,1237648720144367900
1237648720681500842,1237648720681500842,1237648720681500842
1237648721218175206,1237648721218175206,1237648721218175206
1237651800697864450,1237651800697864450,1237651800697864450
1237648720681173086,1237648720681173086,1237648720681173086
1237654669736018114,1237654669736018114,1237654669736018114
1237648721218044172,1237648721218044172,1237648721218044172
1237648720144105659,1237648720144105659,1237648720144105659
1237648720681107522,1237648720681107522,1237648720681107522
1237648721217978626,1237648721217978626,1237648721217978626
1237651800697602178,1237651800697602178,1237651800697602178
1237648720144040094,1237648720144040094,1237648720144040094
1237651799623663883,1237651799623663883,1237651799623663883
1237654670272692403,1237654670272692403,1237654670272692403
1237648721217781912,1237648721217781912,1237648721217781912
1237648721754718358,1237648721754718358,1237648721754718358
1237651752386822348,1237651752386822348,1237651752386822348
